fecha;referencia;descripcion;debito;credito;saldo;tipoMovimiento;indicadorCargoAbono;importe
28/09/2022 - 13:52;9569964206608;CARGO POR IGTF                    ;-0.81;-0.81;23.334,44;5699;Nota de Débito;-0,81
28/09/2022 - 13:52;0590564206608;TRASPASO OTRAS CTAS BDV EN LINEA  ;-40.70;-40.70;23.335,25;5602;Nota de Débito;-40,70
28/09/2022 - 12:20;0590587600781;ABO TRASP A OTRAS CTAS CLAVENET   ;831.87;831.87;23.375,95;1602;Nota de Crédito;831,87
28/09/2022 - 11:54;0590529248109;ABO TRASP A OTRAS CTAS CLAVENET   ;588.22;588.22;22.544,08;1602;Nota de Crédito;588,22
28/09/2022 - 11:46;0426500065392;REINT PAGO PROVEEDORES ENVIADOS   ;944.10;944.10;21.955,86;2520;Nota de Crédito;944,10
28/09/2022 - 11:35;0590528157228;ABO TRASP A OTRAS CTAS CLAVENET   ;4005.81;4005.81;21.011,76;1602;Nota de Crédito;4.005,81
28/09/2022 - 11:31;0590527910478;ABO TRASP A OTRAS CTAS CLAVENET   ;3866.00;3866.00;17.005,95;1602;Nota de Crédito;3.866,00
28/09/2022 - 11:20;0590527225368;ABO TRASP A OTRAS CTAS CLAVENET   ;814.00;814.00;13.139,95;1602;Nota de Crédito;814,00
28/09/2022 - 10:32;0590524321696;ABO TRASP A OTRAS CTAS CLAVENET   ;1300.00;1300.00;12.325,95;1602;Nota de Crédito;1.300,00
28/09/2022 - 10:18;0590523493215;ABO TRASP A OTRAS CTAS CLAVENET   ;810.75;810.75;11.025,95;1602;Nota de Crédito;810,75
28/09/2022 - 08:45;5490117957048;ABO TRASP A OTRAS CTAS CLAVENET   ;411.00;411.00;10.215,20;1602;Nota de Crédito;411,00
27/09/2022 - 17:40;9569900065393;CARGO POR IGTF                    ;-0.05;-0.05;9.804,20;5699;Nota de Débito;-0,05
27/09/2022 - 17:40;0676200065393;COMISION PAGO A PROVEEDORES       ;-2.36;-2.36;9.804,25;7931;Nota de Débito;-2,36
27/09/2022 - 17:40;9569900065392;CARGO POR IGTF                    ;-0.05;-0.05;9.806,61;5699;Nota de Débito;-0,05
27/09/2022 - 17:40;0676200065392;COMISION PAGO A PROVEEDORES       ;-2.36;-2.36;9.806,66;7931;Nota de Débito;-2,36
27/09/2022 - 17:40;9569900065396;CARGO POR IGTF                    ;-0.05;-0.05;9.809,02;5699;Nota de Débito;-0,05
27/09/2022 - 17:40;0676200065396;COMISION PAGO A PROVEEDORES       ;-2.36;-2.36;9.809,07;7931;Nota de Débito;-2,36
27/09/2022 - 17:40;9569900065397;CARGO POR IGTF                    ;-0.05;-0.05;9.811,43;5699;Nota de Débito;-0,05
27/09/2022 - 17:40;0676200065397;COMISION PAGO A PROVEEDORES       ;-2.36;-2.36;9.811,48;7931;Nota de Débito;-2,36
27/09/2022 - 17:35;9569900065396;CARGO POR IGTF                    ;-18.88;-18.88;9.813,84;5699;Nota de Débito;-18,88
27/09/2022 - 17:35;0329200065396;PAGO A PROVEEDORES B D V          ;-944.10;-944.10;9.832,72;6513;Nota de Débito;-944,10
27/09/2022 - 17:35;9569900065397;CARGO POR IGTF                    ;-18.88;-18.88;10.776,82;5699;Nota de Débito;-18,88
27/09/2022 - 17:35;0329200065397;PAGO A PROVEEDORES B D V          ;-944.10;-944.10;10.795,70;6513;Nota de Débito;-944,10
27/09/2022 - 17:35;9569900065393;CARGO POR IGTF                    ;-18.88;-18.88;11.739,80;5699;Nota de Débito;-18,88
